br-101,122-L,brioso,2021-12-28
su-102,66-R,sunstream,2021-11-21
br-103,26-L,brioso,2021-01-01
su-104,9-R,sunstream,2021-08-31
su-105,101-L,sunstream,2021-08-30
su-106,25-R,sunstream,2021-05-15
su-107,94-L,sunstream,2021-02-13
pi-108,78-R,piccolo,2021-03-12
su-109,17-L,sunstream,2021-04-06
pi-110,107-R,piccolo,2021-09-05
pi-111,39-L,piccolo,2021-12-29
su-112,9-R,sunstream,2021-04-16
pi-113,77-L,piccolo,2021-11-17
su-114,68-R,sunstream,2021-07-10
su-115,26-L,sunstream,2021-12-18
su-116,128-R,sunstream,2021-08-02
br-117,95-L,brioso,2021-07-02
pi-118,116-R,piccolo,2021-09-20
br-119,55-L,brioso,2021-06-25
su-120,74-R,sunstream,2021-05-14
su-121,23-L,sunstream,2021-05-31
br-122,36-R,brioso,2021-07-31
pi-123,3-L,piccolo,2021-11-21
br-124,46-R,brioso,2021-11-28
su-125,11-L,sunstream,2021-09-07
pi-126,100-R,piccolo,2021-09-13
pi-127,11-L,piccolo,2021-03-14
su-128,120-R,sunstream,2021-03-17
br-129,52-L,brioso,2021-08-30
su-130,7-R,sunstream,2021-01-01
su-131,8-L,sunstream,2021-12-27
pi-132,23-R,piccolo,2021-10-23
su-133,121-L,sunstream,2021-05-21
br-134,128-R,brioso,2021-10-26
br-135,39-L,brioso,2021-10-06
br-136,31-R,brioso,2021-11-30
pi-137,43-L,piccolo,2021-08-18
pi-138,91-R,piccolo,2021-04-13
pi-139,130-L,piccolo,2021-01-01
pi-140,108-R,piccolo,2021-07-17
pi-141,93-L,piccolo,2021-04-15
br-142,3-R,brioso,2021-05-06
br-143,3-L,brioso,2021-08-01
br-144,83-R,brioso,2021-11-20
pi-145,31-L,piccolo,2021-04-05
su-146,125-R,sunstream,2021-12-01
pi-147,35-L,piccolo,2021-07-14
br-148,26-R,brioso,2021-09-21
su-149,62-L,sunstream,2021-04-21
pi-150,125-R,piccolo,2021-01-17
br-151,94-L,brioso,2021-09-30
br-152,48-R,brioso,2021-05-31
pi-153,84-L,piccolo,2021-09-01
su-154,75-R,sunstream,2021-10-16
br-155,49-L,brioso,2021-03-31
pi-156,101-R,piccolo,2021-02-23
br-157,23-L,brioso,2021-07-03
br-158,65-R,brioso,2021-06-26
su-159,37-L,sunstream,2021-07-01
br-160,99-R,brioso,2021-10-13
br-161,62-L,brioso,2021-04-10
su-162,49-R,sunstream,2021-02-22
pi-163,12-L,piccolo,2021-03-26
br-164,7-R,brioso,2021-02-07
su-165,95-L,sunstream,2021-05-16
br-166,8-R,brioso,2021-11-06
pi-167,69-L,piccolo,2021-02-03
su-168,35-R,sunstream,2021-10-16
pi-169,82-L,piccolo,2021-06-23
pi-170,100-R,piccolo,2021-12-20
br-171,28-L,brioso,2021-11-11
su-172,33-R,sunstream,2021-09-24
pi-173,88-L,piccolo,2021-10-15
br-174,16-R,brioso,2021-06-21
su-175,36-L,sunstream,2021-06-12
pi-176,48-R,piccolo,2021-05-23
br-177,83-L,brioso,2021-10-22
su-178,14-R,sunstream,2021-08-28
su-179,42-L,sunstream,2021-08-07
br-180,31-R,brioso,2021-02-12
br-181,77-L,brioso,2021-03-13
su-182,61-R,sunstream,2021-05-05
su-183,115-L,sunstream,2021-01-28
su-184,14-R,sunstream,2021-04-29
pi-185,93-L,piccolo,2021-02-15
su-186,6-R,sunstream,2021-09-05
br-187,33-L,brioso,2021-11-27
su-188,71-R,sunstream,2021-06-17
su-189,26-L,sunstream,2021-08-17
br-190,89-R,brioso,2021-06-25
su-191,62-L,sunstream,2021-07-15
pi-192,7-R,piccolo,2021-07-01
pi-193,38-L,piccolo,2021-10-29
pi-194,90-R,piccolo,2021-01-29
br-195,45-L,brioso,2021-03-10
su-196,83-R,sunstream,2021-07-30
br-197,78-L,brioso,2021-01-29
br-198,82-R,brioso,2021-01-31
su-199,87-L,sunstream,2021-01-18
br-200,34-R,brioso,2021-02-15
pi-201,40-L,piccolo,2021-04-02
su-202,16-R,sunstream,2021-09-04
br-203,77-L,brioso,2021-12-06
pi-204,49-R,piccolo,2021-10-14
br-205,9-L,brioso,2021-11-24
br-206,35-R,brioso,2021-01-19
pi-207,26-L,piccolo,2021-12-21
pi-208,46-R,piccolo,2021-03-23
br-209,56-L,brioso,2021-05-19
br-210,92-R,brioso,2021-10-20
su-211,59-L,sunstream,2021-01-12
pi-212,10-R,piccolo,2021-10-10
br-213,43-L,brioso,2021-07-16
pi-214,71-R,piccolo,2021-01-25
br-215,54-L,brioso,2021-08-12
br-216,77-R,brioso,2021-01-21
br-217,57-L,brioso,2021-10-16
su-218,53-R,sunstream,2021-02-23
br-219,82-L,brioso,2021-05-29
pi-220,78-R,piccolo,2021-03-08
pi-221,32-L,piccolo,2021-09-02
su-222,29-R,sunstream,2021-02-13
su-223,61-L,sunstream,2021-08-20
su-224,22-R,sunstream,2021-12-17
