31,su-952,75,20,15.44,1.25
32,su-9616,141,18,47.47,1.33
33,su-9614,75,30,23.49,1.06
34,su-9595,75,9,15.78,1.51
35,su-9649,75,7,5.88,1.18
36,su-9496,75,27,8.99,1.4
37,su-9551,74,7,51.08,1.42
38,su-9676,141,8,79.53,1.52
39,su-9599,75,28,44.12,1.36
40,su-9530,141,14,58.84,1.04
41,su-9649,74,22,83.65,1.59
42,su-950,75,25,10.89,1.38
43,su-9543,75,10,78.21,1.33
44,su-960,75,19,61.99,1.12
45,su-9497,74,26,49.24,1.3
46,su-9615,75,6,28.32,1.44
47,su-9558,74,13,24.69,1.45
48,su-9572,75,15,13.44,1.58
49,su-9599,74,9,43.21,1.12
50,su-952,141,26,31.36,1.26
51,su-9507,75,7,74.45,1.2
52,su-9583,141,8,27.94,1.4
53,su-9577,74,3,68.55,1.06
54,su-9670,74,6,58.76,1.42
55,su-9628,141,5,99.95,1.06
56,su-9489,141,24,86.7,1.41
57,su-963,75,27,79.26,1.6
58,su-9681,141,8,71.72,1.2
59,su-9613,141,6,12.79,1.05
60,su-9570,74,8,42.7,1.32
61,su-9664,75,25,95.87,1.23
62,su-9615,74,17,42.66,1.42
63,su-9676,75,29,3.97,1.39
64,su-9491,75,18,44.53,1.17
65,su-9657,141,19,32.19,1.08
66,su-9515,74,17,57.41,1.19
67,su-9649,75,3,87.87,1.25
68,su-9547,74,7,7.65,1.23
69,su-9676,141,14,11.86,1.09
70,su-9572,141,26,46.14,1.29
71,su-9484,74,7,36.24,1.58
72,su-9570,74,5,19.44,1.19
73,su-9515,74,3,65.84,1.3
74,su-9610,74,24,81.3,1.26
75,su-9583,75,22,80.01,1.15
76,su-963,141,28,86.58,1.55
77,su-9641,75,22,31.93,1.47
78,su-9515,141,5,58.25,1.16
79,su-9507,75,8,33.33,1.36
80,su-9662,74,26,8.81,1.37
81,su-963,141,9,25.74,1.07
82,su-9592,75,4,86.96,1.15
83,su-9682,74,27,60.33,1.44
84,su-9670,75,15,90.56,1.34
85,su-9664,141,27,47.77,1.13
86,su-957,75,4,39.22,1.31
87,su-9572,75,7,23.86,1.57
88,su-9614,74,10,86.09,1.38
89,su-9481,75,22,69.66,1.28
90,su-9588,141,17,68.0,1.23
91,su-9592,74,16,76.89,1.59
92,su-961,74,23,17.7,1.51
93,su-9616,75,21,49.81,1.35
94,su-9672,75,10,10.72,1.6
95,su-9497,74,25,96.27,1.52
96,su-9530,74,22,67.23,1.53
97,su-9672,74,22,96.46,1.05
98,su-9653,74,23,29.75,1.1
99,su-9592,75,3,24.25,1.12
100,su-9649,141,4,61.86,1.13
101,su-9507,75,28,58.91,1.05
102,su-9581,141,15,93.39,1.46
103,su-9641,75,12,97.13,1.15
104,su-9664,74,18,47.75,1.17
105,su-9530,74,24,43.54,1.19
106,su-9529,75,20,92.23,1.06
107,su-9662,74,10,69.51,1.16
108,su-9558,75,6,40.86,1.22
109,su-9653,75,25,17.79,1.36
110,su-9481,75,8,10.43,1.57
111,su-9537,75,17,42.28,1.01
112,su-9599,74,14,18.07,1.56
113,su-9657,141,29,83.17,1.37
114,su-952,74,9,53.19,1.52
115,su-9543,74,5,70.08,1.4
116,su-9662,141,26,80.53,1.04
117,su-9507,74,30,97.66,1.19
118,su-9664,141,30,75.46,1.23
119,su-950,74,10,96.93,1.16
120,su-960,74,15,67.71,1.38
121,su-952,74,16,77.67,1.09
122,su-963,74,9,75.96,1.17
123,su-950,141,27,57.41,1.29
124,su-9530,141,22,58.53,1.16
125,su-9513,75,14,46.6,1.57
126,su-9577,75,4,49.59,1.46
127,su-9599,141,5,85.22,1.18
128,su-9670,75,6,63.89,1.42
129,su-9558,141,16,57.18,1.29
130,su-9583,74,12,2.26,1.22
131,su-9682,141,21,48.38,1.07
132,su-9616,74,17,49.76,1.14
133,su-9505,141,27,96.98,1.23
134,su-9653,141,22,82.61,1.33
